Serial number,County,Subcounty,Education zone,,,School Name/Learning Institution,"Type of school1_ Public, Private, Informal",GPS Cordinate (Latitudes),GPS Cordinate (Longtitudes),,TSC Code,KNEC Code,MOE Code/ Nemis Code,Sponsor, Land area_ acres,"Level_ Pre primary, Primary, Secondary, Special needs, technical colleges,  Diploma Teacher colleges, Certificate Teacher colleges,  University","Type of school1_ Public, Private, Informal","Registered, Not registered",Type of school2_Boys; Girls; Mixed,Type of school3_Day; Boarding; Both,"Type of school4_Regular, Integrated, Special Needs School",Enrolment,,,TSC Teachers,,County government (e.g. for Pre primary),,BOM/PTA,,"Total Human resources (Teaching staff , Tsc, BOM/PTA, County)",,,Human resources: Curriculum support, Human resources: Non-Teaching staff,"Infrastructure ( No of classrooms, Labs, Boys toilets, Girls Toilets)",,,,,,,,KCPE (for primary),KCSE (Secondary),HT TEL. CONTACT
8,Makueni,Mukaa,Kasikeu,Kilome,Kasikeu,Maria Msingi Bora School,Private,0,0,,,,,,5 Acres,Primary,Private,Not-registered,Mixed,Day,Regular,73,73,146,0,0,0,0,2,5,0,7,7,"Ministry, TSC",2,4,2,0,0,6,0,13,0,,,0725974785
9,Makueni,Mukaa,Kasikeu,Kilome,Kasikeu,Three Bells ,Private,-2.010818,37.368351,,,18347244,JIZR,,10 Acres,Primary,Private,Registered,Mixed,Day&Boarding,Regular,112,130,242,0,0,0,0,5,5,0,10,10,none,none,9,3,0,0,4,0,4,0,368,,0716202206
10,Makueni,Mukaa,Kasikeu,Kilome,Kasikeu,Kasikeu Bidii Academy,Private,0,0,,,,PJVP,,3 Acres,Primary,Private,Not-registered,Mixed,Day,Regular,26,16,42,0,0,0,0,1,4,0,5,5,Sub-County,3,4,1,0,0,3,0,3,0,,,0720949450
11,Makueni,Mukaa,Kasikeu,Kilome,Kasikeu,Christopher Kiamba Memorial,Private,-1.995949,37.358502,,,,NDEB,,40 Acres,Primary,Private,Registered,Mixed,Day&Boarding,Regular,212,202,414,0,0,0,0,13,11,0,24,24,"MOE, CBC Champion",21,16,0,0,0,2,0,2,0,378.23,,0725548258
158,Makueni,Kibwezi,Nthongoni,kibwezi east,Ivingoni/Nzambani,A.I.C Ivingoni academy,Private,-2.649385,38.077306,,,18325,,,5,Primary,Private,registered,Mixed,Day,Regular,42,55,97,0,0,0,0,4,4,0,8,8,"C.S.O, S.Q.A.SO",1,8,0,0,0,2,0,2,0,,,0704528698
159,Makueni,Kibwezi,Kibwezi,kibwezi east,Thange,Kinyambu Starshine Academy,Private,-2.48313,38.002092,,,,,,,Primary,Private,registered,Mixed,Day,Regular,64,58,122,0,0,0,0,3,9,0,12,12,C.S.O,3,8,0,0,0,4,0,4,0,,,0708874292
160,Makueni,Kibwezi,Maikuu,kibwezi east,Thange,st Beatrice MT Zion,Private,0,0,,,,,,6,Primary,Private,Registered,Mixed,Day & Boarding,Regular,46,41,87,0,0,0,0,3,5,0,8,8,C.S.O,3,8,0,0,0,3,0,3,0,,,0715059361
163,Makueni,Kibwezi,Kambu,Kibwezi East,Ivingoni/Nzambani,St.Peters Catholic Kambu,Private,-2.271263,37.828139,,,18325241,G63H,Private,5,Primary,Private,Registered,Mixed,Day&boarding,Regular,49,54,103,0,0,0,0,4,5,0,9,0,CSO,4,8,0,0,0,4,0,4,0,New,,0728641331
164,Makueni,Kibwezi,Mtito-Andei,Kibwezi East,Mtito-Andei,St.Martin pri,Private,-2.410668,37.967929,,,18325187,GAAS,Private,5Acres,Primary,Private,Registered,Mixed,Day,Regular,72,63,135,0,0,0,0,3,8,0,11,11,CSO,1,8,0,0,0,4,0,7,0,288.93,,0729157732
165,Makueni,Kibwezi,Nthongoni,Kibwezi East,Ivingoni/Nzambani,Step up zion Academy,Private,0,0,,,18325183,VY9Q,Private,,Primary,Private,Registered,mixed,Day&boarding,Regular,78,57,135,2,1,0,0,5,4,3,9,12,MOE,4,8,0,0,0,3,0,3,0,303.67,,0711997610
166,Makueni,Kibwezi,Maikuu,Kibwezi East,Thange,The GD-Getter ACD,Private,0,0,,,18325343,AHDR,Private,7Acres,Primary,Private,Registered,Mixed,Day&boarding,Regular,97,96,193,3,4,0,0,0,0,7,0,7,CSO,N/A,8,0,0,0,8,0,6,0,347.4,,07011797837
167,Makueni,Kibwezi,Kambu,Kibwezi East,Ivingoni/Nzambani,Shallom Stepping Stone,Private,-2.689187,38.165634,,,18325188,,Private,4,Primary,Private,Registered,Mixed,Day&boarding,Integrated,10,5,15,,,,,,,,,,,,8,0,0,0,4,0,4,0,305.4,,0718767209
168,Makueni,Kibwezi,Mtito-Andei,Kibwezi East,Mtito-Andei,Mtito Victory Hill,Private,-2.67293,38.149015,,,18325178,E34K,Private,4acres,Primary,Private,Registered,Mixed,Day&boarding,Regular,63,78,141,0,0,0,0,6,4,0,10,10,CSO,,0,0,0,0,2,0,2,0,318.75,,0723095668
169,Makueni,Kibwezi,Mtito-Andei,Kibwezi East,Mtito-Andei,Mtito-Andei Christian,Private,-2.690141,38.169951,,,18325179,QKGL,Private,1Acre,Primary,Private,Registered,Mixed,Day&boarding,Regular,38,31,69,0,0,0,9,0,0,0,0,0,CSO,6,8,0,0,0,2,0,3,0,290.15,,0792230552
170,Makueni,Kibwezi,Mtito-Andei,Kibwezi East,Mtito-Andei,Lukenya Community,Private,-2.559503,38.321961,,,18325192,E9YG,Private,108 Ha,Primary,Private,Registered,Mixed,Day&boarding,Regular,38,27,65,0,0,0,0,4,3,0,7,7,CSO/QASO,2,8,0,0,0,4,0,4,0,287.88,,0722697037
171,Makueni,Kibwezi,Nthongoni,Kibwezi East,Nzambani/Ivingoni,Ave Maria,Private,-2.691734,38.166214,,,18325180,53GR,Private,23Ha,Primary,Private,Registered,Mixed,Boarding,Regular,129,157,286,0,0,0,0,8,3,0,11,11,Cso/QASO,12,9,0,0,0,7,0,9,0,346.86,,0717236529
172,Makueni,Kibwezi,Mtito-Andei,Kibwezi East,Mtito-Andei,Baraka Mtito Academy,Private,-2.441144,38.021899,,,18325103,6X5L,Private,6Ha,Primary,Private,Registered,Mixed,Day&boarding,Regular,100,95,195,5,3,0,0,4,4,8,8,16,CSO/SDE,6,8,0,0,0,4,0,4,0,317.31,,0721675256
173,Makueni,Kibwezi,Kambu,Kibwezi East,Nzambani/Ivingoni,Deliverance,Private,-2.59486,38.071525,,,18325181,756K,Private,3Ha,Primary,Private,Registered,Mixed,Day &boarding,Regular,54,58,112,4,7,0,0,4,5,11,9,20,CSO/MOE/KPSA,5,8,0,0,0,8,0,10,0,333.87,,0742875369
174,Makueni,Kibwezi,Kambu,Kibwezi East,Nzambani/Ivingoni,High Vision,private,-2.602227,38.066609,,,18325182,,Private,1.50Ha,Primary,private,Registered,Mixed,Day&boarding,Regular,45,65,110,0,0,0,0,3,7,0,10,10,CSO/MOE/KPSA,6,8,0,0,0,2,0,2,0,257,,0703592286
175,Makueni,Kibwezi,Kikumbulyu,Kibwezi East,Kathyaka,Mcc Light Academy,Private,0,0,,,,NFXR,Private,2.5 Acres,Primary,Private,Registered,Mixed,Day&boarding,Integrated,40,25,65,0,0,0,0,2,5,0,7,7,CSO/TSC-CDE/CDE,2,8,0,0,0,3,0,3,0,,,0714937258
176,Makueni,Kibwezi,Kambu,Kibwezi East,Ivingoni/Nzambani,Elyon View Academy,Private,0,0,,,18325184,6MC3,Private,7 Acres,Primary,Private,Registered,Mixed,Day&boarding,Regular,53,42,95,3,4,0,0,0,0,7,0,7,CSO,,8,0,0,0,1,0,1,0,312.13,,0721675557
177,Makueni,Kibwezi,Kathyaka,Kibwezi East,Kikumbulyu North,St.Therasas ACAD,Private,-2.31957,38.01508,,,,2YRS,Private,6Acres,Primary,Private,Registered,Mixed,Day&boarding,Regular,44,40,84,0,0,0,0,2,8,0,10,10,CSO,3,8,0,0,0,4,0,4,0,,,0718258095
178,Makueni,Kibwezi,Kathyaka,Kibwezi East,Kikumbulyu North,High Achievers,Private,-2.32996,37.856843,,,,JRUA,Private,3Acres,Primary,Private,Registered,Mixed,Day&boarding,Integrated,131,120,251,0,0,0,0,6,7,0,13,13,CSO&MOE,5,8,0,0,0,5,0,5,0,,,0715148362
179,Makueni,Kibwezi,Kathyaka,Kibwezi East,Kikumbulyu North,St.Paul Winners,Private,0,0,,,,,private,2Ha,Primary,Private,Registered,Mixed,Day,Regular,50,29,79,0,0,0,0,6,2,0,8,8,CSO,2,8,0,0,0,2,0,4,0,,,0746041876
180,Makueni,Kibwezi,Kathyaka,Kibwezi East,Kikumbulyu North,Kathyaka vision,Private,0,0,,,,Q4P7,Private,2Ha,Primary,Private,Registered,Mixed,Day,Regular,44,39,83,0,0,0,0,3,3,0,8,8,CSO/QASO,1,8,0,0,0,2,0,2,0,,,0703132748
181,Makueni,Kibwezi,Kibwezi,Kibwezi East,Thange,PCEA Kibwezi Imani,Private,-2.413818,37.968124,,,,X78Y,Private,16,Primary,Private,Registered,Mixed,Day&boarding,Regular,788,81,159,0,0,0,0,5,6,0,11,11,MOE,14,8,0,0,0,10,0,11,0,,,0725773869
182,Makueni,Kibwezi,Kibwezi,Kibwezi East,Kikumbulyu south,Kibwezi Junior Academy,Private,0,0,,,,QVHF,Private,3Ha,Primary,Private,Registered,Mixed,Day,Regular,52,36,88,0,0,0,0,4,5,0,9,9,CSO,4,8,0,0,0,3,0,5,0,,,0716477639
183,Makueni,Kibwezi,Nthongoni,Kibwezi East,Nzambani/Ivingoni,A.I.C Nthongoni pri,Private,-2.650532,38.053491,,,18325189,63QZ,Private,2acres,Primary,Private,Registered,Mixed,Day&boarding,Integrated,96,72,168,0,0,0,0,7,3,0,10,10,CSO,4,8,0,0,0,2,0,4,0,303.82,,0707858436
184,Makueni,Kibwezi,Ngwata,Kibwezi East,Mukaange,A..I.C Ngomano Academy,Private,0,0,,,18305193,E9F6,Private,3,Primary,Private,Registered,Mixed,Day,Regular,40,31,71,0,0,0,0,3,5,0,8,8,CSO/QASO/CDE,1,8,0,0,0,2,0,2,0,281.25,,0714700514
4,Makueni,Nzaui,Ithumba,Kibwezi West,Nguu Masumba,Sister Damiana Memorial ,Private,0,0,,,,47WM,,3 Acres,Primary,Private,Registered,Mixed,Boarding,Regular,22,26,48,0,0,0,0,6,4,0,10,10,CSO,0,5,0,0,0,2,0,2,0,,,707941545
5,Makueni,Nzaui,Ithumba,Kibwezi West,Nguu Masumba,Green  Valley Annex,Private,0,0,,,,,,5 Acres,Primary,Private,Registered,Mixed,Day & Boarding,Regular,100,116,216,0,0,0,0,4,6,0,10,10,CSO,0,8,0,0,0,4,0,6,0,,,710897478
29,Makueni,Nzaui,Mutyambua,Makueni,Mbitini,Faith View Academy,Private,-2.406707,37.969661,,,,MBQY,,1.5 Ha,Primary,Private,Registered,Mixed,Day & Boarding,Regular,40,51,91,0,0,0,0,4,6,0,10,10,CSO & SCDE,3,8,0,0,0,3,0,3,0,,,700143429
31,Makueni,Nzaui,Mutyambua,Makueni,Mbitini,ACK ST Mark's Kavuthu,Private,-1.997824,37.415168,,,,EAXX,,1.5 H a,Primary,Private,Registered,Mixed,Day & Boarding,Regular,75,88,163,0,0,0,0,4,6,0,10,10,CSO & SCDE,3,8,0,0,0,3,0,3,0,,,700346293
89,Makueni,Nzaui,Mweini,Kibwezi West,Nguu-Masumba,NGUU ACADEMY,Private,-2.153473,37.601535,,,,2R3Y,,20,Primary,Private,Registered,Mixed,Day & Boarding,Regular,34,31,65,0,0,0,0,4,1,0,5,5,CSO,3,5,0,0,0,5,0,5,0,,,0729777990
108,Makueni,Nzaui,Matiliku,Makueni,Nzaui-Kalamba-Kilili,MATILIKU TOWNSHIP ACADEMY,Private,-1.951653,37.535758,,,,9A7F,,2.5,Primary,Private,Registered,Mixed,Day & Boarding,Regular,51,56,107,0,0,0,0,5,4,0,9,9,CSO,3,8,0,0,0,4,0,4,0,,,0711682344
112,Makueni,Nzaui,Matiliku,Makueni,Nzaui-Kalamba-Kilili,JOY SOUNDS ACADEMY,Private,0,0,,,,E9RQ,,4,Primary,Private,Registered,Mixed,Day & Boarding,Regular,80,83,163,6,6,0,0,0,0,0,12,12,"CSO,SCDE,QASO",5,8,0,0,0,9,0,9,0,,,0701503484
113,Makueni,Nzaui,Matiliku,Makueni,Nzaui-Kalamba-Kilili,KILILI VISION ACADEMY,Private,-1.918912,37.594335,,,,8ZXP,,5,Primary,Private,Registered,Mixed,Day & Boarding,Regular,92,78,170,4,10,0,0,0,0,0,14,14,"QASO,SCDE,CDE",,8,0,0,0,10,0,10,0,,,0729496698
117,Makueni,Nzaui,Mulala,Kibwezi West,Mulala-Emali,ST. ELIZABETH JUNIOUR SCHOOL,Private,0,0,,,,KXLP,,10,Primary,Private,Registered,Mixed,Day & Boarding,Regular,41,29,70,0,0,0,0,4,6,0,10,10,CSO,4,8,0,0,0,2,0,2,0,,,0716368498
128,Makueni,Nzaui,Mulala,Kibwezi West,Mulala-Emali,ST. MATHEWS ACADEMY,Private,0,0,,,,LKME,,2 Ha,Primary,Private,Registered,Mixed,Day & Boarding,Regular,25,30,55,0,0,0,0,4,5,0,9,9,CSO,,8,0,0,0,8,0,8,0,,,0788594632
129,Makueni,Nzaui,Mulala,Kibwezi West,Mulala-Emali,ACK ST. PETER'S EMALI ACADEMY,Private,-2.01882,37.378919,,,,E9F3,,2,Primary,Private,Reistered,Mixed,Day,Integrated school,50,40,90,0,0,0,0,4,2,0,6,6,B.O.M,2,6,0,0,0,3,0,3,0,,,0711519647
1,Makueni,Mbooni West,Kawalani,Mbooni,Tulimani,THE KALAWANI VISION ACADEMY,Private,0,0,,,18323339,,SELF,3,Primary,Private,Registered,Mixed,Day,Regular,27,31,58,0,0,0,0,3,4,0,7,7,CSO,2,4,0,0,0,4,0,4,0,,,0716511
8,Makueni,Mbooni West,Mbooni,Mbooni,Nzeveni,MARANATHA CHILDRENS CENTRE,Private,-1.668219,37.450461,,,,JXF6,,,Primary,Private,Registered,Mixed,Day,Regular,43,41,84,2,6,0,0,0,0,8,0,8,"CSO,GSC SCD",,0,15,0,0,4,0,4,0,,,0720280905
9,Makueni,Mbooni West,Kithungo,Mbooni,Kithungo/Kitundu,THE DREAMPARK ACADEMY,Private,0,0,,N/A,N/A,DZNR,PRIVATE,5,Primary,Private,Registered,mixed,Day & Boarding,Regular,13,16,29,0,0,0,0,2,6,0,8,8,CSO,,4,4,0,0,1,0,1,0,,,0719787474
12,Makueni,Mbooni West,Mbooni,Mbooni,Mbooni,ST. BRIGID SCHOOL,Private,-1.64957,37.452047,,,18323131,XGFE,PRIVATE,12,Primary,Private,Registered,mixed,Day & Boarding,Regular,61,74,135,N/A,N/A,0,0,5,5,0,10,10,MOE,10,8,0,0,0,12,0,12,0,,,0726150284
13,Makueni,Mbooni West,Tulimani,Mbooni,Tulimani,TUMAINI IIANI JUNIOR,Private,0,0,,N/A,N/A,N/A,PRIVATE,5 Ha,Primary,Private,Not registered,mixed,Day,Regular,24,15,39,0,0,0,0,1,6,0,7,7,"CSO,TSC,SCDE",2,4,0,0,0,1,0,1,0,,,0717792283
14,Makueni,Mbooni West,Tulimani,Mbooni,Tulimani,NZUU ORANGE FIRM,Private,0,0,,N/A,18323334,DF8P,PRIVATE,0.4 Ha,Primary,Private,Registered,mixed,Day & Boarding,Regular,18,15,33,0,0,0,0,3,5,0,8,8,CSO,3,2,6,0,0,4,0,9,0,,,0743750795
16,Makueni,Mbooni West,Mbooni,Mbooni,Mbooni,HOLY ANGEL'S,Private,0,0,,N/A,18323131,57G5,CATHOLIC,2 Ha,Primary,Private,Registered,mixed,Day,Regular,122,117,239,0,0,0,0,3,5,0,8,8,CSO,2,8,0,0,0,4,0,4,0,,,0750955425
17,Makueni,Mbooni West,Kawalani,Mbooni,Tulimani,THE HEMAS HILL ACADEMY,Private,0,0,,N/A,N/A,E7P9,,1.5,Primary,Private,Registered,mixed,Day,Regular,18,12,30,1,4,0,0,0,0,5,0,5,"CSO,SCDE",2,6,0,0,0,6,0,6,0,,,0715750325
18,Makueni,Mbooni West,Kawalani,Mbooni,Tulimani,MATUNGWA MEMORIAL ACADEMY,Private,-1.59542,37.439117,,N/A,N/A,3GPD,,1.2,Primary,Private,Registered,mixed,Day & Boarding,Regular,124,67,191,0,0,0,0,2,8,0,10,10,CSO,10,10,0,0,0,10,0,22,0,,,0728934295
19,Makueni,Mbooni West,Kawalani,Mbooni,Tulimani,THE KALAWANI,Private,0,0,,N/A,,T3E4,,2 Ha,Primary,Private,Registered,mixed,Day & Boarding,Regular,135,99,234,0,0,0,0,4,5,0,8,8,"CSO,TSC",4,8,0,0,0,3,0,3,0,,,0711683926
20,Makueni,Mbooni West,Kalawani,Mbooni,Tulimani,GRACE TIME ACADEMY,Private,0,0,,N/A,,G5DD,,3 Ha,Primary,Private,Registered,mixed,Day,Regular,54,45,99,0,0,0,0,2,6,0,8,8,CSO,,8,0,0,0,4,0,3,0,,,0718111969
21,Makueni,Mbooni West,Kalawani,Mbooni,Tulimani,FRACARINE ACADEMY,Private,0,0,,N/A,,7PJH,,0.04 Ha,Primary,Private,Registered,mixed,Day,Regular,24,18,42,0,0,0,0,4,4,0,8,8,CSO,2,8,0,0,0,2,0,2,0,,,0729970243
22,Makueni,Mbooni West,Kalawani,Mbooni,Tulimani,VIANI J. SCHOOL,Private,0,0,,N/A,,,,0.74 Ha,Primary,Private,Registered,mixed,Day,Regular,55,47,102,0,0,0,0,1,7,0,8,8,CSO,2,7,0,0,0,2,0,3,0,,,0790088231
23,Makueni,Mbooni West,Mbooni,Mbooni,Mbooni,SHINNING STAR,Private,-1.535525,37.371221,,N/A,,3RW8,,1 Ha,Primary,Private,Registered,Mixed,Day & Boarding,Regular,58,44,102,0,0,0,0,2,8,0,10,10,"CSO,SCDE",3,8,0,0,0,5,0,5,0,,,0710685138
24,Makueni,Mbooni West,Mbooni,Mbooni,Mbooni,MWANGAZA WINNERS ACADEMY,Private,-1.697097,37.708848,,N/A,,,,50 by 100 Ft,Primary,Private,Registered,mixed,Day,Regular,8,5,13,,,,,,,,,,CBC,2,0,2,0,0,2,0,2,0,,,0729464709
2,Makueni,Makindu,Kiunduani,Kibwezi West,Nguumo,BENFAM MUSINGI,Private,-2.34646,37.87251,,,,Q3HA,PRIVATE,3.6,Primary,Private,Not Registered,Mixed,Day,Regular,25,40,65,0,0,0,0,2,6,0,8,8,CBC,1,8,0,0,0,1,0,2,0,,,0728294469
19,Makueni,Makindu,Makindu,Kibwezi West,Makindu,MAKINDU SUNRISE ACADEMY,Private,-2.276082,37.826411,,,18348117,VUCC,PRIVATE,3,Primary,Private,Registered,Mixed,Day & Boarding,Regular,24,47,71,0,0,0,0,2,6,0,8,8,CSO,3,8,0,0,0,4,0,4,0,,,0726908361
24,Makueni,Makindu,Kiunduani,Kibwezi West,Nguumo,GAPNEB SCHOOLS,Private,-2.328955,37.867705,,N/A,18348176,Y85P,PRIVATE,4,Primary,Private,N/A,Mixed,Day & Boarding,Integrated school,51,47,98,,,,,,,,,,,,,,,,,,,,,,
25,Makueni,Makindu,Makindu,Kibwezi West,Makindu,ST. JUDE'S MAKINDU,Private,0,0,,N/A,N/A,,PRIVATE,5,Primary,Private,Not Registered,Mixed,Day,Integrated school,20,8,28,1,1,0,0,5,3,2,8,10,TEACHERS,5,2,0,0,0,4,0,0,0,,,0726230047
29,Makueni,Makindu,Makindu,Kibwezi West,Makindu,MASAMBA SUNSHINE ACADEMY,Private,-2.36,37.82,,N/A,18348185,N/A,PRIVATE,3.5,Primary,Private,Not Registered,Mixed,Day,Regular,32,27,59,0,0,0,0,2,5,0,7,7,CSO,1,6,0,0,0,1,0,2,0,,,0701168845
30,Makueni,Makindu,Makindu,Kibwezi West,Makindu,ST NICHOLUS,Private,-2.2867,37.8165,,N/A,N/A,N/A,PRIVATE,1,Primary,Private,Not Registered,Mixed,Day & Boarding,Integrated school,11,14,25,1,4,0,0,0,0,5,0,5,CSO,,8,0,0,0,1,0,1,0,,,0798345152
38,Makueni,Makindu,Makindu,Kibwezi West,Makindu,GRAMO JOY,Private,0,0,,N/A,18348172,9KB7,,9,Primary,Private,Registered,Mixed,Day,Regular,40,33,73,0,0,0,0,5,2,0,7,7,"BOM, TEACHERS",3,8,0,0,0,3,0,3,0,,,0724097252
39,Makueni,Makindu,Makindu,Kibwezi West,Makindu,THE SOPHIE M.N ACADEMY,Private,-2.262634,37.8384619,,N/A,N/A,EAH7,,3,Primary,Private,registered,Mixed,Day & Boarding,Regular,56,44,100,0,0,0,0,6,6,0,12,12,"CSO,ECDE OFFICER",7,8,0,0,0,6,0,6,0,,,0738212132
51,Makueni,Makindu,Makindu,Kibwezi west,Makindu,Marks ECDE Centre,Private,-2.263507,37.824761,,N/A,N/A,N/A,PRIVATE,1 1/2,Primary,Private,N/A,mixed ,Day,Regular,11,12,23,0,0,0,0,0,3,0,3,3,ZQASO,0,3,0,0,0,1,0,1,0,0,0,0727 393 425
53,Makueni,Makindu,Makindu,Kibwezi west,makindu,Mumbe Junior Academy,Private,-2.29106,37.823293,,N/A,18348118,BHPE,PRIVATE,5,Primary,Private,Registered,mixed ,Day & Boarding,Regular,101,121,222,N/A,N/A,0,0,4,6,0,10,10,External facilitation & C.S.O,12,10,0,0,0,5,0,10,0,340.67,0,0716 394175
54,Makueni,Makindu,Makindu,Kibwezi west,Makindu,St. Peters,Private,-2.271141,37.828233,,N/A,18348119,YSW5,Catholic church,20,Primary,Private,Registered,mixed ,Day & Boarding,Regular,121,117,238,0,0,0,0,7,7,0,14,14,CSO & DQASO,24,10,0,0,0,8,0,8,0,342.25,0,0701 586371
56,Makueni,Makindu,Makindu,Kibwezi west,Makindu,Trinity Academy,Private,-2.275986,37.827352,,N/A,18348168,KK3N,Trinity Church,2.5,Primary,Private,Registered,mixed ,Day & Boarding,Regular,46,40,86,0,0,0,0,4,6,0,10,10,N/A,5,8,0,0,0,3,0,3,0,335.67,0,0799 680 722
57,Makueni,Makindu,Makindu,Kibwezi west,Makindu,St. Johns Makindu,Private,-2.27906,37.828972,,N/A,18348179,TCDN,A.C.K,1,Primary,Private,Registered,mixed ,Day,Regular,75,94,169,0,0,0,0,4,5,0,9,9,CSO,7,8,0,0,0,3,0,3,0,323.82,0,0711 823279
